[ "0" , "4" , "=" , "4" , "=" , "=" , "3" , "0" , "0" ]
[ "0" , "$" , "0" , "$" , "1" , "=" , "$" , "=" , "2" ]
[ "0" , "$" , "0" , "$" , "$" , "0" , "$" , "0" , "$" ]
[ "1" , "$" , "=" , "$" , "2" , "=" , "5" , "=" , "6" ]
[ "$" , "2" , "0" , "$" , "0" , "0" , "$" , "0" , "$" ]
[ "$" , "$" , "0" , "4" , "=" , "=" , "4" , "0" , "$" ]
[ "$" , "$" , "0" , "$" , "0" , "0" , "$" , "0" , "$" ]
[ "$" , "1" , "=" , "4" , "=" , "2" , "$" , "0" , "$" ]
[ "2" , "=" , "=" , "=" , "=" , "=" , "4" , "=" , "3" ]
